case,n_agents,n_additional_agents,baseline_min_sep_nmi,baseline_min_sep_nmi_std,rl_min_sep_nmi,rl_min_sep_nmi_std,baseline_risk_exposure,baseline_risk_exposure_std,rl_risk_exposure,rl_risk_exposure_std,baseline_dist_m,baseline_dist_m_std,rl_dist_m,rl_dist_m_std,baseline_time_s,baseline_time_s_std,rl_time_s,rl_time_s_std,baseline_collision_rate,rl_collision_rate,n_episodes_baseline,n_episodes_rl
1,2,1,0.23003772770084263,0.006839020381824248,0.04478633860770469,0.015520786039151937,0.3333333333333334,1.1158161231197418e-16,1.0,0.0,3791.91,9.792900953799089,3698.065,20.95553915345851,631.985,1.6321501589664298,389.27,2.2058462266798147,0.0,0.0,100,100
2,2,1,0.499790886536658,0.0036087505718913324,0.2459565346002452,0.010529613810655876,0.24147771903035792,0.12576649279960836,0.6688265385561745,0.004531947039415154,3573.4500000000007,3.7507574992498562,3685.525,21.344324228414635,595.575,0.625126249875038,387.95,2.246770971412039,0.0,0.0,100,100
3,2,1,1.05,0.0,0.4209135092552203,0.005943858206739235,0.3333333333333334,1.1158161231197418e-16,0.6666666666666669,2.2316322462394835e-16,3507.72,1.602271115408074,3780.24,28.37754838821055,584.62,0.2670451859014337,397.92,2.987110356653782,0.0,0.0,100,100
4,2,1,0.39095554099427643,0.009335643432135207,0.20674299588804537,0.012984880159517494,0.12370303518159326,0.1505893240849938,0.713667218957092,0.02987293761865007,4746.96,126.37597585272022,3778.815,29.46268869693513,791.16,21.062662642120003,397.77,3.10133565230899,0.0,0.0,100,100
5,3,2,0.2615435788655882,0.006754370373321082,0.19981191491791286,0.01209501677823757,0.3333333333333334,1.1158161231197418e-16,0.7281123511133566,0.02800970832223042,3857.130000000001,9.227380205374773,3632.99,11.371977342874986,642.855,1.537896700895825,382.42,1.19705024661845,0.0,0.0,100,100
6,3,2,0.5620717282107509,0.0028774737872937256,0.1598075191805028,0.008408451175916173,0.2465269685640051,0.12724303413319984,0.851719644507789,0.02822497420052874,3524.4000000000005,3.0151134457774993,3677.2125,15.445340860367875,587.4,0.5025189076296062,387.075,1.6258253537228655,0.0,0.0,100,100
7,3,2,0.6846412127094292,0.0064706162961126416,0.14538509377921466,0.003750791375593268,0.3333333333333334,1.1158161231197418e-16,0.9010579414048331,0.01119849831766745,3508.05,2.5361029517383518,3691.1775,26.460621948262673,584.675,0.42268382528979764,388.545,2.7853286261329298,0.0,0.0,100,100
8,3,2,0.2617129483316329,0.006630862575479013,0.19935058617812285,0.01285886810240008,0.3333333333333334,1.1158161231197418e-16,0.7296207636559616,0.03024955954497374,3856.109999999999,7.996078584360469,3635.27,14.681366600303821,642.685,1.3326797640601264,382.66,1.5454070105583273,0.0,0.0,100,100
9,3,2,0.5147217192050051,0.004293758268088095,0.37683490379329415,0.012698075835932885,0.2713264155595155,0.10122376134369733,0.6666666666666669,2.2316322462394835e-16,3573.69,4.019384846647134,3644.485,11.956192132239481,595.615,0.6698974744411463,383.63,1.258546540235757,0.0,0.0,100,100
10,3,2,0.4871661678062257,0.003756573417184425,0.13088157375335788,0.012315519694641687,0.29865530722794503,0.08012823578035273,0.9368276324702101,0.03189887991500992,3596.64,4.598023290699483,3660.1125,11.50457610973327,599.44,0.7663372151166399,385.275,1.2110080115508748,0.0,0.0,100,100
11,3,2,0.21483568984781204,0.008826732984898252,0.05836474430658325,0.012638772241299868,0.32035006749779016,0.04486591774850415,0.9999694600764653,0.00019525886467030516,4958.46,60.403762676298186,3692.555,13.380295137992999,826.41,10.06729377938302,388.69,1.4084521197887323,0.0,0.0,100,100
12,4,3,0.24140886775926115,0.008899434856390925,0.013642877131368575,0.008577982493059395,0.3333333333333334,1.1158161231197418e-16,1.0,0.0,3795.39,9.60733621202604,3660.7775,26.842010995693506,632.565,1.6012227020043595,385.345,2.8254748416519444,0.0,0.0,100,100
