iteration,episode_return_mean,episode_len_mean,eval_return_mean,eval_ep_length_mean
1,1011.849677222362,707.3333333333334,nan,nan
2,910.4627015836387,629.1428571428571,nan,nan
3,1220.4829202191092,822.8888888888889,nan,nan
4,1430.789218966871,946.1818181818181,nan,nan
5,1487.8640091508373,966.2857142857143,nan,nan
6,1616.7660873647153,1033.125,nan,nan
7,1724.3359207321646,1085.111111111111,nan,nan
8,1739.7344134448635,1079.2380952380952,nan,nan
9,1817.785516341909,1115.9130434782608,nan,nan
10,1888.0919053269533,1146.72,967.6309382849839,1068.6666666666667
11,1758.1234120828688,1058.7666666666667,nan,nan
12,1822.3400191814076,1086.40625,nan,nan
13,1749.4155944232791,1033.5405405405406,nan,nan
14,1711.9417089433675,1003.7619047619048,nan,nan
15,1732.1677884710869,1009.7333333333333,nan,nan
16,1778.0364928763188,1030.6382978723404,nan,nan
17,1821.2581082594456,1049.8367346938776,nan,nan
18,1863.322896722795,1067.5294117647059,nan,nan
19,1903.6102920023839,1083.8867924528302,nan,nan
20,1941.3772720416848,1099.0545454545454,1462.7307272395744,1501.0
21,1976.895191577771,1113.157894736842,nan,nan
22,2009.8886604222741,1126.3050847457628,nan,nan
23,2040.8035734981656,1138.5901639344263,nan,nan
24,2069.860416825045,1150.095238095238,nan,nan
25,2096.758720815477,1160.8923076923077,nan,nan
26,2117.657301509493,1171.044776119403,nan,nan
27,2136.6836673338985,1180.608695652174,nan,nan
28,2157.02945439741,1189.6338028169014,nan,nan
29,2178.64854061602,1198.164383561644,nan,nan
30,2199.1411251979416,1206.24,1456.310138628428,1501.0
31,2217.9547559309713,1213.8961038961038,nan,nan
32,2237.0710831918077,1221.1645569620252,nan,nan
33,2255.146950381312,1228.0740740740741,nan,nan
34,2272.4155036932625,1234.6506024096386,nan,nan
35,2289.001908603247,1240.9176470588236,nan,nan
36,2304.8086776499804,1246.896551724138,nan,nan
37,2319.883566084698,1252.6067415730338,nan,nan
38,2334.343406740967,1258.065934065934,nan,nan
39,2348.0958997837183,1263.2903225806451,nan,nan
40,2361.2881101676785,1268.2947368421053,1477.751905062126,1501.0
41,2374.002729847898,1273.0927835051546,nan,nan
42,2386.227751023002,1277.6969696969697,nan,nan
43,2399.9587773653075,1279.93,nan,nan
44,2451.123907933038,1303.74,nan,nan
45,2506.564781281404,1330.49,nan,nan
46,2537.025788711411,1340.96,nan,nan
47,2550.6128071643197,1340.96,nan,nan
48,2562.7261854997178,1340.96,nan,nan
49,2596.4808223516693,1354.79,nan,nan
50,2605.9443724308194,1354.79,1486.2855206749894,1501.0
51,2614.44375131499,1354.79,nan,nan
52,2646.5193317948433,1368.5,nan,nan
53,2653.1876440957026,1368.5,nan,nan
54,2660.1617016438818,1368.5,nan,nan
55,2665.9866069316467,1368.5,nan,nan
56,2714.035318893043,1391.71,nan,nan
57,2757.7191007550073,1412.6,nan,nan
58,2761.8761737834466,1412.6,nan,nan
59,2789.209265701332,1425.0,nan,nan
60,2819.2322168552264,1438.95,1474.5664874392962,1501.0
61,2849.047501206491,1452.89,nan,nan
62,2872.6852403584094,1463.37,nan,nan
63,2924.631412278522,1488.77,nan,nan
64,2951.8856571483093,1501.0,nan,nan
65,2955.903755714672,1501.0,nan,nan
66,2959.5058422608167,1501.0,nan,nan
67,2962.041783557459,1501.0,nan,nan
68,2962.752954190493,1501.0,nan,nan
69,2963.17890810491,1501.0,nan,nan
70,2963.2467006361326,1501.0,1491.3077456693065,1501.0
71,2963.8813506448564,1501.0,nan,nan
72,2964.5575941370184,1501.0,nan,nan
73,2964.853548434261,1501.0,nan,nan
74,2965.390823665736,1501.0,nan,nan
75,2966.270417863084,1501.0,nan,nan
76,2970.091487941053,1501.0,nan,nan
77,2974.3207379578853,1501.0,nan,nan
78,2976.8762622889126,1501.0,nan,nan
79,2977.7250446936696,1501.0,nan,nan
80,2978.5747330030445,1501.0,1493.7555172927114,1501.0
81,2979.882365542751,1501.0,nan,nan
82,2980.215053697488,1501.0,nan,nan
83,2980.635129453309,1501.0,nan,nan
84,2981.0198316069936,1501.0,nan,nan
85,2981.2360355168435,1501.0,nan,nan
86,2981.5051574775816,1501.0,nan,nan
87,2981.785454398034,1501.0,nan,nan
88,2982.0362451649626,1501.0,nan,nan
89,2982.355626054891,1501.0,nan,nan
90,2982.699463446234,1501.0,1492.4600471116728,1501.0
91,2982.6361577039374,1501.0,nan,nan
92,2982.6094004668366,1501.0,nan,nan
93,2982.712012494209,1501.0,nan,nan
94,2982.79228883351,1501.0,nan,nan
95,2982.846399777496,1501.0,nan,nan
96,2982.877566072668,1501.0,nan,nan
97,2982.823169091296,1501.0,nan,nan
98,2982.887127342763,1501.0,nan,nan
99,2982.948756754897,1501.0,nan,nan
100,2982.899739343299,1501.0,1490.8938709144768,1501.0
