case,n_agents,n_additional_agents,baseline_min_sep_nmi,baseline_min_sep_nmi_std,rl_min_sep_nmi,rl_min_sep_nmi_std,baseline_risk_exposure,baseline_risk_exposure_std,rl_risk_exposure,rl_risk_exposure_std,baseline_dist_m,baseline_dist_m_std,rl_dist_m,rl_dist_m_std,baseline_time_s,baseline_time_s_std,rl_time_s,rl_time_s_std,baseline_collision_rate,rl_collision_rate,baseline_success_rate,rl_success_rate,n_episodes_baseline,n_episodes_rl
11,3,2,0.21483568984781204,0.008826732984898252,0.017889984194977913,0.005988438138044241,0.36064015132272637,0.15374807623275716,174.0418140439515,54.14055938374629,4958.46,60.403762676298186,2452.2,754.2306000022793,826.41,10.06729377938302,245.22,75.42306000022792,0.0,0.74,0.98,0.26,100,100
12,4,3,0.24140886775926115,0.008899434856390925,0.07649171804191261,0.01251381944501913,1.5071035475579984,0.8535282893622022,275.24343652506,2.329819910204319,3795.39,9.60733621202604,3682.6,25.150857968778915,632.565,1.6012227020043595,368.26,2.5150857968778255,0.0,0.0,1.0,1.0,100,100
13,4,3,0.282568284925057,0.0041724031785456955,0.015906158395787892,0.0023853493139261153,1.6820405409980754,0.8450767481712101,153.22458262571323,55.47692832789348,5100.0,3.1399561259441617e-12,2052.55,605.8012871354348,850.0,0.0,205.255,60.58012871354348,0.0,0.88,0.0,0.12,100,100
14,4,3,0.5155206891891012,0.0041421357017136584,0.05716312067729546,0.025077228775593527,0.2292261434250176,0.117726693643576,247.14709926620387,7.3359695007414,3577.47,4.056308218520679,3750.7,16.727464864947795,596.245,0.6760513697534046,375.07,1.6727464864948332,0.0,0.0,1.0,1.0,100,100
15,4,3,0.5154462634414447,0.003665005474253352,0.015782344206876936,0.0006040877855027527,0.5548196710633805,0.20366931771235938,214.79876934577248,7.624412707124148,3572.64,4.248636144801071,3322.6999999999994,84.21179408269539,595.44,0.7081060241334918,332.27,8.421179408269522,0.0,0.97,1.0,0.03,100,100
16,4,3,0.1885366424495625,0.008828910148071292,0.018727580917238945,0.004509724173907354,0.5011489101138872,0.41024652964729713,214.2548516504437,65.22667411313608,4954.68,63.99619306859337,2909.25,818.1015147179706,825.78,10.666032178098959,290.925,81.8101514717971,0.0,0.44,0.99,0.56,100,100
17,4,3,0.5682751380476772,0.0035024674129705657,0.018505090855352322,0.003941786668700915,0.5197179408557473,0.22574547622075058,245.6504148041718,23.989346023979703,3518.76,2.9132924204880117,3496.1,224.5124684396133,586.46,0.4855487367479971,349.61,22.451246843961357,0.0,0.53,1.0,0.47,100,100
18,4,3,0.41466305264894304,0.0053142419383436215,0.016506953025310172,0.0029058161871675665,0.18697615608354656,0.10359711260331136,247.1362870707956,7.968819165319885,3699.48,5.9040817929787535,3573.55,78.05170197899695,616.58,0.984013632163106,357.355,7.805170197899711,0.0,0.88,1.0,0.12,100,100
19,4,3,0.4031144986575249,0.006091132623094803,0.019514591495151508,0.006434094524232532,0.2925347455614337,0.10878408564244996,252.63109325304188,21.726904498822297,3700.32,6.256923438007459,3520.75,223.181059576155,616.72,1.0428205730012943,352.075,22.318105957615522,0.0,0.55,1.0,0.45,100,100
20,4,3,0.5014294874327216,0.004114157795359812,0.01724464973761464,0.00320765068845226,0.6968116228371997,0.23665296072913325,234.04367078108538,3.783471395779871,3570.03,4.078658424709652,3639.2999999999993,35.936391616636485,595.005,0.6797764041182657,363.93,3.5936391616636225,0.0,0.71,1.0,0.29,100,100
21,4,3,0.49810215546293,0.0039350337100927425,0.03763012384893415,0.01181313533391992,0.2354759027768062,0.11382190000501946,275.4033963442769,8.59534503932592,3579.6,4.898979485566049,3743.5,81.23261274720491,596.6,0.816496580927726,374.35,8.1232612747205,0.0,0.03,1.0,0.97,100,100
