iteration,episode_return_mean,episode_len_mean,eval_return_mean,eval_ep_length_mean
1,2177.683391580508,1501.0,nan,nan
2,2229.8677151311545,1501.0,nan,nan
3,2265.6631126629723,1501.0,nan,nan
4,2298.6802597336073,1501.0,nan,nan
5,2335.502204018033,1501.0,nan,nan
6,2370.023799897951,1501.0,nan,nan
7,2404.553443770892,1501.0,nan,nan
8,2436.491982187026,1501.0,nan,nan
9,2463.0907304663388,1501.0,nan,nan
10,2485.1468483842227,1501.0,1368.017362540938,1501.0
11,2509.0994205928696,1501.0,nan,nan
12,2532.471874101447,1501.0,nan,nan
13,2558.1218928678186,1501.0,nan,nan
14,2581.774357246515,1501.0,nan,nan
15,2600.170267121241,1501.0,nan,nan
16,2619.584666532368,1501.0,nan,nan
17,2638.769264420294,1501.0,nan,nan
18,2655.8053600346298,1501.0,nan,nan
19,2670.4067149519133,1501.0,nan,nan
20,2683.9343291164855,1501.0,1452.3570228830004,1501.0
21,2696.1116160782944,1501.0,nan,nan
22,2708.2898782711254,1501.0,nan,nan
23,2719.920445984647,1501.0,nan,nan
24,2730.724566808792,1501.0,nan,nan
25,2740.795692555015,1501.0,nan,nan
26,2750.1250168212523,1501.0,nan,nan
27,2758.680235183335,1501.0,nan,nan
28,2766.6278179817023,1501.0,nan,nan
29,2774.199823325506,1501.0,nan,nan
30,2781.2417656360903,1501.0,1489.9829873871083,1501.0
31,2787.7846558423544,1501.0,nan,nan
32,2793.997938347472,1501.0,nan,nan
33,2799.879529441497,1501.0,nan,nan
34,2805.0596498782343,1501.0,nan,nan
35,2810.1642727955546,1501.0,nan,nan
36,2814.783845652708,1501.0,nan,nan
37,2819.4675531293774,1501.0,nan,nan
38,2823.351437533788,1501.0,nan,nan
39,2827.2289472277816,1501.0,nan,nan
40,2831.05559979729,1501.0,1494.6191416742488,1501.0
41,2834.9388932417683,1501.0,nan,nan
42,2838.6341969803048,1501.0,nan,nan
43,2842.1387600863245,1501.0,nan,nan
44,2845.53464718203,1501.0,nan,nan
45,2848.724533162892,1501.0,nan,nan
46,2851.6492881754125,1501.0,nan,nan
47,2854.6373512314685,1501.0,nan,nan
48,2857.382907033108,1501.0,nan,nan
49,2860.1242511912283,1501.0,nan,nan
50,2862.727742241829,1501.0,1489.7915032452404,1501.0
51,2878.885861935165,1501.0,nan,nan
52,2893.098497115232,1501.0,nan,nan
53,2906.165217473887,1501.0,nan,nan
54,2918.0506425799726,1501.0,nan,nan
55,2928.191391790481,1501.0,nan,nan
56,2937.110038794693,1501.0,nan,nan
57,2944.4759351566713,1501.0,nan,nan
58,2950.825799850464,1501.0,nan,nan
59,2957.1042670052575,1501.0,nan,nan
60,2963.229882025341,1501.0,1485.658828139286,1501.0
61,2967.9165315162495,1501.0,nan,nan
62,2971.828584069794,1501.0,nan,nan
63,2974.326793046473,1501.0,nan,nan
64,2976.402484518591,1501.0,nan,nan
65,2979.119511513465,1501.0,nan,nan
66,2980.719634454458,1501.0,nan,nan
67,2981.6535745742212,1501.0,nan,nan
68,2982.6552949121433,1501.0,nan,nan
69,2983.8449738530903,1501.0,nan,nan
70,2984.8616837812733,1501.0,1491.1687755420971,1501.0
71,2985.935884440679,1501.0,nan,nan
72,2986.526258045438,1501.0,nan,nan
73,2986.9380393788642,1501.0,nan,nan
74,2987.2465731479547,1501.0,nan,nan
75,2987.455368935448,1501.0,nan,nan
76,2987.6857592010674,1501.0,nan,nan
77,2987.9840676362815,1501.0,nan,nan
78,2988.2789300054405,1501.0,nan,nan
79,2988.462259394424,1501.0,nan,nan
80,2988.671399649604,1501.0,1496.2155892324856,1501.0
81,2988.873740391213,1501.0,nan,nan
82,2988.3891547512058,1501.0,nan,nan
83,2988.4379957160145,1501.0,nan,nan
84,2988.2801330164175,1501.0,nan,nan
85,2988.4496141319546,1501.0,nan,nan
86,2988.532163723559,1501.0,nan,nan
87,2988.663223537438,1501.0,nan,nan
88,2989.161898817946,1501.0,nan,nan
89,2989.6126993093762,1501.0,nan,nan
90,2987.9004948304064,1501.0,1498.088548178178,1501.0
91,2987.7554792452715,1501.0,nan,nan
92,2987.6857211004117,1501.0,nan,nan
93,2987.6633426413855,1501.0,nan,nan
94,2987.712658425375,1501.0,nan,nan
95,2987.801989119798,1501.0,nan,nan
96,2987.9737322684005,1501.0,nan,nan
97,2988.022344302201,1501.0,nan,nan
98,2988.1490503746695,1501.0,nan,nan
99,2988.1468748300763,1501.0,nan,nan
100,2988.221311667471,1501.0,1498.1605962147214,1501.0
