iteration,episode_return_mean,episode_len_mean,eval_return_mean,eval_ep_length_mean
1,873.9417034432386,600.0,nan,nan
2,887.2789991946446,600.0,nan,nan
3,904.3245145736024,600.0,nan,nan
4,916.7908108343696,600.0,nan,nan
5,928.3459931393577,600.0,nan,nan
6,941.3044816337982,600.0,nan,nan
7,950.0545520016502,600.0,nan,nan
8,959.1404779123889,600.0,nan,nan
9,970.5985708710119,600.0,nan,nan
10,980.346798189823,600.0,577.4007272958079,600.0
11,988.8790854062697,600.0,nan,nan
12,999.7360542322665,600.0,nan,nan
13,1008.532946049235,600.0,nan,nan
14,1016.4085409937081,600.0,nan,nan
15,1026.1852189208105,600.0,nan,nan
16,1032.6412883982794,600.0,nan,nan
17,1039.2454910508002,600.0,nan,nan
18,1047.2079262891718,600.0,nan,nan
19,1052.9093446161307,600.0,nan,nan
20,1058.25975062756,600.0,588.6392815276763,600.0
21,1064.9271971640414,600.0,nan,nan
22,1069.7678981861573,600.0,nan,nan
23,1074.2342586599307,600.0,nan,nan
24,1079.6766906623416,600.0,nan,nan
25,1083.438547161745,600.0,nan,nan
26,1087.0666047772977,600.0,nan,nan
27,1091.7287116171983,600.0,nan,nan
28,1094.9538773722463,600.0,nan,nan
29,1097.8405445914561,600.0,nan,nan
30,1101.5458767394048,600.0,593.2315942162663,600.0
31,1111.0696584032837,600.0,nan,nan
32,1119.8163075201783,600.0,nan,nan
33,1130.3450342298893,600.0,nan,nan
34,1137.3328054237832,600.0,nan,nan
35,1143.7465259075843,600.0,nan,nan
36,1151.7836749789833,600.0,nan,nan
37,1157.3593148708305,600.0,nan,nan
38,1162.3301414024086,600.0,nan,nan
39,1168.3188662047867,600.0,nan,nan
40,1171.8457495805512,600.0,594.590226662693,600.0
41,1175.2003567239701,600.0,nan,nan
42,1179.010933169449,600.0,nan,nan
43,1181.088561573107,600.0,nan,nan
44,1182.9439678889746,600.0,nan,nan
45,1185.1687501284966,600.0,nan,nan
46,1186.8047210471075,600.0,nan,nan
47,1187.9431967722232,600.0,nan,nan
48,1189.353330932637,600.0,nan,nan
49,1190.177484273137,600.0,nan,nan
50,1190.8142197328755,600.0,596.3235784611553,600.0
