case,n_agents,n_additional_agents,baseline_min_sep_nmi,baseline_min_sep_nmi_std,rl_min_sep_nmi,rl_min_sep_nmi_std,baseline_risk_exposure,baseline_risk_exposure_std,rl_risk_exposure,rl_risk_exposure_std,baseline_dist_m,baseline_dist_m_std,rl_dist_m,rl_dist_m_std,baseline_time_s,baseline_time_s_std,rl_time_s,rl_time_s_std,baseline_collision_rate,rl_collision_rate,n_episodes_baseline,n_episodes_rl
11,3,2,0.21483568984781204,0.008826732984898252,0.1382792958552225,0.03841939083319843,0.32035006749779016,0.04486591774850415,0.8930111146071833,0.0939594352544866,4958.46,60.403762676298186,3741.3375,356.77091965272115,826.41,10.06729377938302,393.825,37.55483364765487,0.0,0.0,100,100
12,4,3,0.24140886775926115,0.008899434856390925,0.03980538522780645,0.014013315849456068,0.3333333333333334,1.1158161231197418e-16,0.9999945926186831,5.4073813168675755e-05,3795.39,9.60733621202604,3770.9775,31.823854193153014,632.565,1.6012227020043595,396.945,3.349879388752962,0.0,0.0,100,100
13,4,3,0.282568284925057,0.0041724031785456955,0.07648456488709783,0.020905677317740907,0.3333333333333334,1.1158161231197418e-16,0.9976216901560048,0.004624862108258013,5100.0,3.1399561259441617e-12,3801.8525,101.21833021975176,850.0,0.0,400.195,10.654561075763363,0.0,0.0,100,100
14,4,3,0.5155206891891012,0.0041421357017136584,0.01453202034829697,0.008857900282165595,0.29424936682526204,0.08529471465582235,1.0,0.0,3577.47,4.056308218520679,3788.2675,26.85695024598235,596.245,0.6760513697534046,398.765,2.8270473943138925,0.0,0.0,100,100
15,4,3,0.5154462634414447,0.003665005474253352,0.08362970365000054,0.008401610383810505,0.3333333333333334,1.1158161231197418e-16,0.9984886479456514,0.0020876735574986136,3572.64,4.248636144801071,3788.505,31.840213836777806,595.44,0.7081060241334918,398.79,3.3516014565028938,0.0,0.0,100,100
16,4,3,0.1885366424495625,0.008828910148071292,0.1715233023643511,0.005932332695091392,0.32467416837451146,0.04098206876935384,0.809264687242036,0.021594919880154793,4954.68,63.99619306859337,3782.7575,33.13433887794913,825.78,10.666032178098959,398.185,3.487825145047303,0.0,0.0,100,100
17,4,3,0.5682751380476772,0.0035024674129705657,0.07510836273065406,0.009750641071600395,0.3333333333333334,1.1158161231197418e-16,0.9994772987528022,0.0014157317638765782,3518.76,2.9132924204880117,3806.0325,34.79965486230253,586.46,0.4855487367479971,400.635,3.6631215644528643,0.0,0.0,100,100
18,4,3,0.41466305264894304,0.0053142419383436215,0.05355566758016776,0.006551088620256536,0.27914438458126384,0.0981465136739779,1.0,0.0,3699.48,5.9040817929787535,3772.165,26.554551722288707,616.58,0.984013632163106,397.07,2.795215970767254,0.0,0.0,100,100
19,4,3,0.4031144986575249,0.006091132623094803,0.019764953732282497,0.0085105352555889,0.314174490827291,0.057965255228347015,1.0,0.0,3700.32,6.256923438007459,3801.615,28.661235831588282,616.72,1.0428205730012943,400.17,3.016972192798802,0.0,0.0,100,100
20,4,3,0.5014294874327216,0.004114157795359812,0.07230749293542747,0.006032136303940921,0.3333333333333334,1.1158161231197418e-16,0.9999521911131888,0.0002696548948304028,3570.03,4.078658424709652,3770.93,31.4665342511336,595.005,0.6797764041182657,396.94,3.3122667632772442,0.0,0.0,100,100
21,4,3,0.49810215546293,0.0039350337100927425,0.013406681965858652,0.008684567822217024,0.29474454107869164,0.07800047791420817,1.0,0.0,3579.6,4.898979485566049,3786.605,32.772809544720836,596.6,0.816496580927726,398.59,3.449769425760089,0.0,0.0,100,100
