case,n_agents,n_additional_agents,baseline_min_sep_nmi,rl_min_sep_nmi,baseline_risk_exposure,rl_risk_exposure,baseline_dist_m,rl_dist_m,baseline_time_s,rl_time_s,n_episodes_baseline,n_episodes_rl
1,2,1,0.1586567621407008,0.14104424582484007,2.0311179617576975,0.3884796764034382,3798.936170212766,3643.910891089109,379.8936170212766,364.3910891089109,47,101
6,3,2,0.2997286562451841,0.12186975847580706,0.18837876699266304,0.19386161934515034,3798.45,3660.09900990099,379.845,366.009900990099,100,101
21,4,3,0.07091003856200384,0.06346351988588553,0.33659440856454415,0.3097687012972344,4331.15,3682.8217821782177,433.115,368.2821782178218,100,101
