step,collision_rate,success_rate,risk_exposure,min_sep_m,weighted_score
300000,0.0,1.0,343.7344975311839,602.9824158017786,0.15
450000,0.0,1.0,342.506237772561,595.9596725787841,0.15
500000,0.0,1.0,349.29104590972923,599.3247345841447,0.15
550000,0.0,1.0,349.3522347053207,592.879766834178,0.15
600000,0.0,1.0,323.90462055957846,658.5350546591387,0.15
750000,0.0,1.0,349.27526913816945,593.0813334071591,0.15
800000,0.0,1.0,349.31307384135886,593.3153488149231,0.15
850000,0.0,1.0,348.9306889931981,594.1808382115419,0.15
900000,0.0,1.0,349.38403926846627,594.4480062096295,0.15
950000,0.0,1.0,350.23995281762103,594.6970861951619,0.15
1000000,0.0,1.0,349.47743965990605,593.1046408076403,0.15
1050000,0.0,1.0,348.011594247472,596.9550205844259,0.15
1100000,0.0,1.0,349.2455192156917,593.4227992275626,0.15
1150000,0.0,1.0,349.19849347196754,592.5773838142063,0.15
1200000,0.0,1.0,349.22452180723263,593.1046146720607,0.15
1250000,0.0,1.0,349.4568800389947,593.2182542591275,0.15
1350000,0.0,1.0,345.28408605299796,601.5681074454178,0.15
1900000,0.0,1.0,331.2352566462619,614.9182968733999,0.15
2500000,0.0,1.0,311.24198444646663,625.3397415411201,0.15
2550000,0.0,1.0,314.04012163814264,623.0046239949307,0.15
2600000,0.0,1.0,312.82520195404027,624.8731299120875,0.15
2650000,0.0,1.0,313.7779157732847,623.9762581184626,0.15
2700000,0.0,1.0,313.09039379971813,625.2056827652162,0.15
2750000,0.0,1.0,311.46857385012834,626.7133422449722,0.15
100000,0.004545454545454546,0.9954545454545454,349.9966235131989,593.4675991943745,0.15363636363636365
150000,0.004545454545454546,0.9954545454545454,334.6959277323795,646.4375170742838,0.15363636363636365
700000,0.004545454545454546,0.9954545454545454,348.01881743943045,593.5570757355796,0.15363636363636365
1300000,0.004545454545454546,0.9954545454545454,347.80512666897874,591.7515019904998,0.15363636363636365
2350000,0.004545454545454546,0.9954545454545454,310.00856739986574,625.3693652886536,0.15363636363636365
350000,0.009090909090909092,0.990909090909091,303.76122827627154,692.9346503619134,0.15727272727272726
2200000,0.009090909090909092,0.990909090909091,302.8571608766391,636.9353916995484,0.15727272727272726
2950000,0.009090909090909092,0.990909090909091,309.68280443503266,633.4767544876536,0.15727272727272726
400000,0.013636363636363636,0.9863636363636363,304.73989273681815,710.9125428001322,0.16090909090909092
650000,0.022727272727272728,0.9772727272727273,312.63647054999046,645.9536715432382,0.16818181818181818
200000,0.031818181818181815,0.9681818181818183,287.0959958579135,732.5740869711667,0.17545454545454542
250000,0.04090909090909091,0.9590909090909091,287.47370466579196,703.6379527924861,0.1827272727272727
2100000,0.040909090909090916,0.9590909090909091,290.5784736616556,641.1654505191486,0.18272727272727274
2150000,0.045454545454545456,0.9545454545454546,266.23912983162677,722.1208007575674,0.18636363636363634
2300000,0.045454545454545456,0.9545454545454546,292.12000377961954,635.9715012697857,0.18636363636363634
2900000,0.05454545454545456,0.9454545454545454,287.64674980478736,635.1869787284361,0.19363636363636363
2400000,0.06363636363636363,0.9363636363636364,259.4394048724613,714.367103605105,0.2009090909090909
1800000,0.06363636363636364,0.9363636363636364,286.9170961292523,639.1677490625173,0.2009090909090909
1700000,0.06818181818181818,0.9318181818181818,257.432526839122,714.9878738620555,0.20454545454545453
1950000,0.06818181818181818,0.9318181818181818,282.6925753344983,638.1535219673656,0.20454545454545453
2250000,0.06818181818181818,0.9318181818181818,286.1717207997122,630.4706718736967,0.20454545454545453
2450000,0.06818181818181818,0.9318181818181818,288.1546538836842,631.4313438636234,0.20454545454545453
2850000,0.06818181818181818,0.9318181818181818,282.07186097212093,633.5430973972877,0.20454545454545453
1550000,0.07727272727272727,0.9227272727272726,254.88837685107808,726.3185488936454,0.21181818181818185
2000000,0.07727272727272728,0.9227272727272727,279.45320386454483,637.601224022968,0.21181818181818182
1650000,0.08181818181818182,0.9181818181818181,257.2792259114537,702.5160076078593,0.21545454545454545
1750000,0.08181818181818182,0.9181818181818181,254.4519501235799,710.1558450595818,0.21545454545454545
2050000,0.08181818181818183,0.9181818181818183,269.4207336321546,663.9346370651796,0.21545454545454543
1850000,0.08636363636363636,0.9136363636363637,278.7594182152875,633.9036061213646,0.21909090909090906
2800000,0.09090909090909091,0.9090909090909091,275.47174418721664,635.731086336948,0.22272727272727272
3000000,0.09545454545454546,0.9045454545454544,274.16740454426326,634.4897234676483,0.22636363636363638
50000,0.15454545454545457,0.8454545454545456,271.5537678044014,644.6552169005146,0.2736363636363636
1500000,0.18181818181818182,0.8181818181818182,226.15101614864304,697.2380353121484,0.2954545454545454
1600000,0.19545454545454544,0.8045454545454546,231.79135265283824,649.4814967277724,0.30636363636363634
1450000,0.1954545454545455,0.8045454545454547,233.08402027017192,648.4478204745054,0.3063636363636364
1400000,0.20454545454545456,0.7954545454545454,232.7614267452257,648.2879616746461,0.3136363636363636
