#{"t_start": 1772039149.9034462, "env_id": "None"}
r,l,t
178.769969,2000,425.87983
174.477426,2000,430.851916
270.707141,2000,436.713955
352.534313,2000,439.812646
181.176145,2000,442.813638
225.051772,2000,445.763814
184.07542,2000,448.796831
190.867409,2000,452.002105
175.144611,2000,454.968461
234.953751,2000,458.007183
187.166362,2000,460.97148
247.648607,2000,464.015903
150.489351,2000,466.329504
184.825981,2000,469.371192
156.743719,2000,472.337663
188.589832,2000,475.921586
216.581362,2000,480.794148
302.32239,2000,487.370449
162.080304,2000,492.583103
194.184269,2000,496.934439
172.563592,2000,500.160076
172.009344,2000,503.598103
150.821397,2000,506.585387
153.078516,2000,509.524735
176.447462,2000,513.126675
178.787823,2000,516.551765
140.171435,2000,520.942225
129.899517,2000,525.092158
148.983935,2000,531.843746
170.484816,2000,538.266072
134.944957,2000,544.958982
150.887708,2000,552.408659
146.899363,2000,560.305576
136.085686,2000,563.014635
155.577231,2000,566.564575
135.172988,2000,570.175286
137.903809,2000,573.264472
165.52078,2000,576.174809
145.001484,2000,579.162354
150.065929,2000,582.135112
147.770015,2000,585.040963
153.462175,2000,588.070973
146.959572,2000,591.045643
154.962189,2000,594.213823
138.65481,2000,598.921219
160.877653,2000,603.805871
151.356965,2000,609.28316
140.300287,2000,615.277746
159.348266,2000,619.104594
157.084317,2000,623.906893
147.756273,2000,628.435209
168.173921,2000,632.422261
147.295732,2000,635.695733
144.300869,2000,638.847661
134.922399,2000,642.269554
137.248033,2000,644.575073
157.659458,2000,647.935326
141.080515,2000,650.889669
167.109347,2000,653.949993
121.074606,2000,658.55218
141.075157,2000,663.37954
139.071667,2000,668.108662
164.357994,2000,672.981742
164.977428,2000,676.57618
151.545174,2000,679.474643
139.948611,2000,683.189425
140.622819,2000,686.490783
157.152688,2000,690.439261
150.2947,2000,694.075785
116.621518,2000,697.512223
147.800978,2000,700.743993
138.52598,2000,704.030102
130.476195,2000,707.057222
144.353404,2000,709.962955
150.815975,2000,713.078216
149.98056,2000,717.312739
137.182212,2000,723.012146
138.537629,2000,728.250885
137.595297,2000,733.151692
145.481742,2000,737.418719
133.532016,2000,740.546599
160.052555,2000,743.925281
128.15128,2000,746.85855
143.320919,2000,749.742956
134.900121,2000,753.12443
114.388612,2000,756.995737
148.984414,2000,760.225099
124.591007,2000,763.870915
122.73343,2000,767.57129
135.62106,2000,770.636249
147.17145,2000,773.754248
141.261946,2000,778.250017
150.76853,2000,783.350954
167.552132,2000,788.006245
132.821721,2000,793.018304
152.020774,2000,796.600731
146.632982,2000,799.526633
129.972733,2000,801.910679
136.201915,2000,804.846787
157.044794,2000,807.763034
140.606645,2000,810.677735
128.999121,2000,813.771021
144.93928,2000,816.707557
126.905384,2000,820.092906
145.900439,2000,824.299661
129.000725,2000,827.577245
174.651963,2000,831.111292
137.186057,2000,834.514902
137.155158,2000,839.434622
130.234048,2000,844.388074
150.96252,2000,849.045943
161.296005,2000,854.051859
158.212375,2000,857.248811
145.393568,2000,860.196369
146.600107,2000,863.599983
136.170306,2000,866.830767
149.816444,2000,869.80341
131.946434,2000,872.887281
124.906642,2000,875.830729
151.347496,2000,878.157341
140.181189,2000,881.217681
117.689936,2000,884.222969
152.071064,2000,887.805672
128.579048,2000,891.603061
141.245403,2000,895.471065
135.120807,2000,900.837494
133.346093,2000,905.555729
134.577629,2000,910.617187
141.480696,2000,915.205718
140.749039,2000,918.249253
137.313949,2000,921.223923
124.16555,2000,924.188017
150.334914,2000,927.089604
150.496634,2000,930.048021
141.80162,2000,933.113915
130.90155,2000,936.239413
148.698648,2000,939.229757
128.20615,2000,942.378856
126.82407,2000,945.273838
148.715539,2000,948.669067
133.907926,2000,952.115947
140.356598,2000,959.222553
113.960186,2000,965.268786
161.678109,2000,970.077699
143.914877,2000,975.052384
133.29767,2000,978.740376
128.494525,2000,981.790844
140.843664,2000,984.761702
148.176638,2000,987.814519
143.426863,2000,990.811674
138.381286,2000,993.824483
133.039859,2000,996.778855
122.947026,2000,999.683932
140.00179,2000,1002.727486
134.239703,2000,1005.747988
116.978322,2000,1008.749182
148.154865,2000,1011.96734
142.244722,2000,1015.327782
142.468242,2000,1020.372885
151.095033,2000,1026.931945
121.669539,2000,1034.402853
163.121207,2000,1037.738512
137.372452,2000,1040.616741
136.345995,2000,1043.663225
111.614424,2000,1046.927252
134.138421,2000,1049.90019
144.351966,2000,1053.008442
119.212713,2000,1055.936228
145.31583,2000,1059.002547
135.995238,2000,1062.443523
131.90152,2000,1065.303029
152.989158,2000,1068.386518
140.524904,2000,1071.369707
148.541457,2000,1074.479393
126.152636,2000,1079.136296
134.160682,2000,1084.046463
137.982618,2000,1088.934762
142.947721,2000,1095.6536
158.761768,2000,1098.693572
130.60005,2000,1101.594939
125.769493,2000,1104.67844
143.872902,2000,1107.585731
131.938993,2000,1110.471223
130.772861,2000,1112.918804
155.423139,2000,1115.962965
130.097658,2000,1119.983686
108.546954,2000,1123.056609
133.344956,2000,1126.449372
121.667434,2000,1129.374198
135.717548,2000,1132.498115
143.61867,2000,1136.255127
131.387271,2000,1141.042487
146.556092,2000,1145.841662
132.598522,2000,1150.552331
137.455482,2000,1155.142138
130.894391,2000,1159.527188
124.217063,2000,1163.195856
141.50212,2000,1166.29809
137.725126,2000,1169.376566
143.801515,2000,1172.313512
124.393914,2000,1175.413777
157.896191,2000,1178.586007
158.81749,2000,1182.006851
138.627348,2000,1185.065289
120.495994,2000,1187.452354
135.390321,2000,1190.480024
137.163803,2000,1193.493278
154.883551,2000,1197.789205
139.29066,2000,1202.616893
141.548341,2000,1207.258904
137.107063,2000,1211.936702
143.571361,2000,1215.712054
157.881828,2000,1218.873305
