case,n_agents,n_additional_agents,baseline_min_sep_nmi,baseline_min_sep_nmi_std,rl_min_sep_nmi,rl_min_sep_nmi_std,baseline_risk_exposure,baseline_risk_exposure_std,rl_risk_exposure,rl_risk_exposure_std,baseline_dist_m,baseline_dist_m_std,rl_dist_m,rl_dist_m_std,baseline_time_s,baseline_time_s_std,rl_time_s,rl_time_s_std,baseline_collision_rate,rl_collision_rate,baseline_success_rate,rl_success_rate,n_episodes_baseline,n_episodes_rl
1,2,1,0.23003772770084263,0.006839020381824248,0.18624680574577876,0.011168048754263908,2.096022198708504,0.9482547497624738,233.42669524823378,8.336711549411334,3791.91,9.792900953799089,3789.85,67.61617387649889,631.985,1.6321501589664298,378.985,6.761617387649917,0.0,0.0,1.0,1.0,100,100
2,2,1,0.499790886536658,0.0036087505718913324,0.34905738215024223,0.011149882560269707,0.12073885951517896,0.06288324639980418,187.68035509086087,18.220797297384912,3573.4500000000007,3.7507574992498562,3797.2,50.047048571389574,595.575,0.625126249875038,379.72,5.004704857139001,0.0,0.0,1.0,1.0,100,100
3,2,1,1.05,0.0,0.31587325521074117,0.0031815908371761923,0.4653223333946924,0.08486313553386894,193.0044555540925,4.520299516394968,3507.72,1.602271115408074,3694.5,27.983581044620358,584.62,0.2670451859014337,369.45,2.798358104461986,0.0,0.0,1.0,1.0,100,100
4,2,1,0.39095554099427643,0.009335643432135207,0.021200750883442077,0.008864760918151986,0.06185151759079663,0.0752946620424969,214.11959994578825,54.90557960939948,4746.96,126.37597585272022,2972.2,744.3396911072094,791.16,21.062662642120003,297.22,74.43396911072092,0.0,0.47,1.0,0.53,100,100
5,3,2,0.2615435788655882,0.006754370373321082,0.19935267155872766,0.011534865160742112,2.064807522966926,0.684101707462916,230.02078461892648,4.805395902409933,3857.130000000001,9.227380205374773,3775.7,51.659432533632774,642.855,1.537896700895825,377.57,5.165943253363291,0.0,0.0,1.0,1.0,100,100
6,3,2,0.5620717282107509,0.0028774737872937256,0.06775233359590736,0.05457375999411924,0.14412383452254512,0.09165022215885163,226.29121775251338,17.692996795020992,3524.4000000000005,3.0151134457774993,3632.1,202.8747685572846,587.4,0.5025189076296062,363.21,20.28747685572844,0.0,0.35,1.0,0.65,100,100
7,3,2,0.6846412127094292,0.0064706162961126416,0.11646760854214287,0.013174762009143404,0.557372990989361,0.11593888644246443,216.55258019855947,8.256800382728882,3508.05,2.5361029517383518,3743.65,50.226029510643514,584.675,0.42268382528979764,374.365,5.022602951064359,0.0,0.0,1.0,1.0,100,100
8,3,2,0.2617129483316329,0.006630862575479013,0.19963150521630552,0.011460971186666894,2.0477767637887188,0.81108693803327,230.62874342054204,4.849701910543599,3856.109999999999,7.996078584360469,3780.6,43.61377782492141,642.685,1.3326797640601264,378.06,4.361377782492152,0.0,0.0,1.0,1.0,100,100
9,3,2,0.5147217192050051,0.004293758268088095,0.3493826511883355,0.018320481314453116,0.17164677393771324,0.09086204446186433,183.91352630365287,16.2415175417868,3573.69,4.019384846647134,3776.2,67.38297000329256,595.615,0.6698974744411463,377.62,6.738297000329271,0.0,0.0,1.0,1.0,100,100
10,3,2,0.4871661678062257,0.003756573417184425,0.03701861256321772,0.021010472580681342,0.22989266766488942,0.09969400280408823,258.1708116032061,16.590136231264555,3596.64,4.598023290699483,3683.4,146.48556311807724,599.44,0.7663372151166399,368.34,14.648556311807729,0.0,0.2,1.0,0.8,100,100
11,3,2,0.21483568984781204,0.008826732984898252,0.01697679319825084,0.004823319138950684,0.36064015132272637,0.15374807623275716,170.18347335984697,52.235094486205554,4958.46,60.403762676298186,2400.55,731.1388981471567,826.41,10.06729377938302,240.055,73.11388981471568,0.0,0.77,0.98,0.23,100,100
