case,n_agents,n_additional_agents,baseline_min_sep_nmi,rl_min_sep_nmi,baseline_risk_exposure,rl_risk_exposure,baseline_dist_m,rl_dist_m,baseline_time_s,rl_time_s,baseline_collision_rate,rl_collision_rate,n_episodes_baseline,n_episodes_rl
1,3,2,0.4867384444787921,0.06576666593822024,0.23407098276363553,0.2852995047032599,3597.6599999999994,3528.3,599.61,371.4,0.0,0.0,50,50
2,4,3,0.49909397854183346,0.07860758906438643,0.2522613930513088,0.2831640032479,3579.539999999999,3538.275,596.59,372.45,0.0,0.0,50,50
6,3,2,0.5625623745005048,0.15159648156973282,0.16535089317923482,0.20180005436933912,3524.64,3545.5425,587.44,373.215,0.0,0.0,100,100
7,3,2,0.6834918194692307,0.11268439489797531,0.5815740038060915,1.309057822593602,3507.72,3542.55,584.62,372.9,0.0,0.0,50,50
9,3,2,0.5142929300222981,0.21818758427648668,0.20873909793929918,0.10970752299900648,3574.14,3532.955,595.69,371.89,0.0,0.0,50,50
10,3,2,0.4867384444787921,0.06576666593822024,0.23407098276363553,0.2852995047032599,3597.6599999999994,3528.3,599.61,371.4,0.0,0.0,50,50
13,4,3,0.2828624341006657,0.037969469562867626,1.5115247178554716,0.7273269760492052,5100.0,3547.68,850.0,373.44,0.0,0.0,50,50
18,4,3,0.4130351157562744,0.1262520183177138,0.1874510743785542,0.22479358526415738,3699.3,3552.05,616.55,373.9,0.0,0.0,50,50
21,4,3,0.49909397854183346,0.07860758906438643,0.2522613930513088,0.2831640032479,3579.539999999999,3538.275,596.59,372.45,0.0,0.0,50,50
